,token_index,value
1982,3341,22.810368
1983,3342,38.603577
1984,3343,72.595726
1985,3344,105.85048
1986,3345,94.139206
1987,3346,88.412735
1988,3347,69.08085
1989,3348,23.826366
1990,3349,20.82761
1991,3350,99.24245
1992,3352,25.372383
1993,3353,51.212288
1994,3354,24.997593
1995,3355,20.636166
1996,3356,87.97064
1997,3357,66.56358
1998,3359,37.525043
1999,3360,39.340183
2000,3361,75.48733
2001,3362,96.25925
2002,3363,49.040382
2003,3364,19.391987
2004,3365,67.5813
2005,3366,21.997183
2006,3368,74.02457
2007,3369,32.207333
2008,3370,21.79003
2009,3371,40.298717
2010,3372,16.126139
2011,3373,87.55755
2012,3374,89.757
2013,3376,38.580734
2014,3377,18.552114
2015,3378,95.16208
2016,3379,46.24758
2017,3380,69.530975
2018,3381,18.145002
2019,3382,19.864948
2020,3383,90.22156
2021,3384,59.702545
2022,3385,19.603956
2023,3386,49.36366
2024,3387,114.20708
2025,3388,23.910267
2026,3389,74.07432
2027,3390,81.430084
2028,3392,84.38869
2029,3393,320.76022
2030,3394,23.864195
2031,3395,61.21869
2032,3397,14.154203
2033,3399,74.62649
2034,3402,57.139168
2035,3403,13.536476
2036,3404,20.124607
2037,3406,85.51743
2038,3407,35.782665
2039,3408,28.43313
2040,3409,42.830334
2041,3410,24.143703
2042,3413,11.746553
2043,3414,15.321499
2044,3415,21.17248
2045,3416,16.78591
2046,3417,22.432209
2047,3418,14.548061
2048,3419,48.887085
2049,3420,47.88203
2050,3421,42.6269
2051,3422,22.458735
2052,3425,25.597986
2053,3426,96.467804
2054,3428,21.000984
2055,3429,57.46435
2056,3430,23.451035
2057,3431,24.162384
2058,3432,91.75634
2059,3433,71.4063
2060,3435,30.223974
2061,3436,21.010958
2062,3438,86.36115
2063,3439,15.918184
2064,3440,55.490696
2065,3441,88.06671
2066,3442,23.442064
2067,3444,103.17037
2068,3445,31.695423
2069,3446,87.18189
2070,3448,76.535904
2071,3449,24.883198
2072,3450,27.183544
2073,3452,23.621725
2074,3453,77.44869
2075,3454,56.36526
2076,3455,28.760765
2077,3457,119.90858
2078,3458,42.427174
2079,3459,40.47826
2080,3460,67.81676
2081,3463,51.667534
2082,3464,57.330914
2083,3465,50.43687
2084,3467,44.72997
2085,3468,159.70316
2086,3469,100.601456
2087,3470,93.761024
2088,3471,24.4022
2089,3472,15.610561
2090,3473,75.33302
2091,3474,15.540332
2092,3476,20.570412
2093,3478,21.137648
2094,3481,28.079916
2095,3482,64.03014
2096,3483,39.534985
2097,3484,80.34316
2098,3485,19.313482
2099,3486,63.9041
2100,3487,82.016884
2101,3489,117.592125
2102,3490,106.81451
2103,3491,147.8838
2104,3492,47.366684
2105,3495,16.241644
2106,3496,38.88189
2107,3497,72.03116
2108,3498,26.63103
2109,3499,21.352339
2110,3500,25.09013
2111,3501,56.222076
2112,3502,56.78423
2113,3504,22.239445
2114,3507,144.77112
2115,3508,44.74605
2116,3509,80.24493
2117,3510,27.661083
2118,3511,70.3376
2119,3512,76.88388
2120,3513,55.440647
2121,3514,44.893105
2122,3515,24.494143
